gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,placement_status
Female,CSE,8.44,70.3,75.0,0,0.5,58.3,3,2,2,3,4,2,1,6.4,3,No,Medium,Tier 2,Yes,Medium,Placed
Female,ME,8.59,79.5,80.6,0,3.0,68.1,8,1,5,5,4,4,2,7.2,4,No,High,Tier 3,Yes,Low,Placed
Male,CE,7.19,67.6,70.5,2,4.5,68.6,7,0,5,4,3,5,3,8.6,10,Yes,Low,Tier 1,Yes,Medium,Placed
Female,CSE,9.71,80.8,93.3,0,4.5,74.7,8,3,5,3,5,4,1,8.3,8,No,Medium,Tier 1,Yes,High,Placed
Female,CSE,9.39,83.1,84.0,0,3.3,62.7,6,1,4,1,5,4,4,5.1,10,No,Medium,Tier 3,Yes,,Placed
Female,CSE,8.82,80.0,81.7,0,4.1,64.3,5,2,3,2,4,4,2,6.1,1,No,Medium,Tier 1,Yes,,Placed
Male,IT,8.66,75.4,82.0,0,4.3,73.8,5,1,3,4,5,3,2,8.6,5,No,Low,Tier 2,Yes,Low,Placed
Male,ECE,8.71,82.4,78.0,0,5.8,85.1,3,1,2,4,4,3,4,6.1,6,No,Medium,Tier 2,Yes,Medium,Placed
Male,ECE,9.33,91.8,87.4,0,6.6,75.1,4,4,3,5,5,3,4,6.9,9,No,Medium,Tier 2,Yes,Low,Placed
Female,CSE,6.59,61.7,63.1,3,4.0,68.1,8,1,5,4,3,5,4,5.0,10,No,Low,Tier 2,Yes,High,Not Placed
Female,ME,6.77,60.9,63.6,2,1.4,61.8,7,3,5,4,3,6,8,8.4,10,No,Medium,Tier 1,Yes,Medium,Placed
Male,IT,7.13,60.3,68.2,0,5.3,72.8,1,0,2,1,4,2,1,4.7,8,No,Medium,Tier 1,No,High,Placed
Female,IT,8.14,65.9,83.6,1,5.4,74.4,4,3,3,1,4,1,5,5.0,3,No,Medium,Tier 3,Yes,Low,Placed
Female,ME,9.19,78.7,78.6,0,5.8,79.2,4,3,3,1,5,2,3,8.3,2,Yes,High,Tier 3,Yes,High,Placed
Male,CSE,9.13,85.9,88.7,0,2.1,64.6,7,4,5,1,5,6,7,9.0,7,No,Medium,Tier 2,Yes,Low,Placed
Male,CSE,9.66,82.0,87.9,1,5.6,68.0,7,2,5,3,4,6,3,6.7,3,No,High,Tier 2,Yes,Low,Placed
Female,CSE,6.81,67.5,61.0,3,4.6,71.7,8,2,5,1,2,4,1,6.9,7,No,High,Tier 1,Yes,High,Not Placed
Male,CSE,10.0,88.1,87.2,0,5.2,77.2,7,2,5,4,5,6,4,8.1,5,No,Low,Tier 1,No,,Placed
Female,CSE,10.0,84.3,91.4,0,2.5,63.2,7,4,5,1,4,4,2,7.3,1,No,Low,Tier 3,No,High,Placed
Male,CSE,9.3,84.8,81.1,0,0.2,62.8,5,2,3,2,4,1,3,6.6,8,No,Medium,Tier 2,Yes,Low,Placed
Female,ECE,7.03,58.9,62.5,1,1.3,68.4,2,1,1,4,3,1,0,6.4,10,Yes,Medium,Tier 2,Yes,High,Not Placed
Male,IT,7.93,75.7,64.1,0,5.8,78.6,7,0,5,3,5,5,1,5.1,8,No,Medium,Tier 1,Yes,Medium,Placed
Male,ME,7.5,63.4,68.0,2,7.4,77.8,7,2,5,1,4,4,3,7.3,2,No,Medium,Tier 1,Yes,Medium,Placed
Female,IT,8.67,67.9,73.5,0,5.6,83.8,7,0,5,4,3,5,1,6.9,10,Yes,Medium,Tier 2,Yes,,Placed
Male,CE,8.42,73.2,74.9,1,1.5,69.6,8,3,4,1,4,4,4,6.5,2,No,Medium,Tier 3,Yes,Low,Not Placed
Male,CSE,7.81,62.4,70.3,1,3.9,72.7,2,1,2,2,4,2,4,5.8,8,No,Low,Tier 3,Yes,Medium,Not Placed
Male,CE,7.27,69.3,60.8,2,4.6,71.7,1,1,1,1,4,1,0,5.9,10,No,High,Tier 3,Yes,Medium,Not Placed
Female,CSE,8.72,83.7,73.8,0,4.1,77.3,8,3,5,2,4,6,4,7.7,4,No,Medium,Tier 3,Yes,,Placed
Female,ME,8.28,71.6,72.3,0,4.3,74.3,6,2,2,4,4,3,5,8.1,6,No,High,Tier 3,Yes,Low,Placed
Female,ECE,8.5,84.3,73.1,0,1.9,70.5,4,1,3,2,5,5,2,6.6,4,No,Low,Tier 2,Yes,Low,Placed
Male,IT,9.54,81.6,86.5,0,1.0,61.4,8,2,5,2,5,5,3,6.5,4,Yes,High,Tier 1,Yes,,Placed
Male,CSE,8.57,75.6,76.4,1,2.0,63.8,6,1,5,5,3,4,5,6.0,8,No,Low,Tier 3,Yes,Low,Placed
Male,CSE,8.32,69.5,79.5,0,1.5,56.0,3,1,3,4,4,2,2,8.1,5,No,Low,Tier 1,Yes,High,Placed
Male,IT,8.83,71.1,79.9,0,4.2,80.4,8,2,5,3,4,6,6,7.0,1,No,Low,Tier 1,Yes,Low,Placed
Male,CSE,7.31,67.7,67.4,3,4.5,79.9,8,2,5,2,3,2,3,7.4,8,No,Medium,Tier 1,Yes,Low,Not Placed
Male,ME,8.05,79.9,72.0,1,1.2,60.4,2,2,2,4,4,2,4,7.4,3,No,High,Tier 2,Yes,High,Not Placed
Male,CE,8.71,76.1,70.6,1,3.8,72.1,7,4,5,2,4,3,1,6.6,4,No,Medium,Tier 2,Yes,,Placed
Female,IT,9.56,86.1,85.5,1,7.7,86.4,6,3,5,5,4,6,3,5.6,10,No,High,Tier 1,Yes,Medium,Placed
Male,IT,9.06,75.3,71.5,1,4.3,76.0,5,3,3,3,4,2,2,5.8,5,No,Medium,Tier 2,Yes,Medium,Placed
Male,IT,8.08,69.8,70.4,1,3.1,70.7,8,2,5,3,4,5,4,8.4,5,No,Medium,Tier 3,Yes,Medium,Placed
Female,CSE,9.83,80.8,91.3,0,5.7,74.7,5,3,3,2,5,3,3,6.1,8,No,High,Tier 2,Yes,Medium,Placed
Male,IT,7.1,71.4,58.2,1,8.8,84.8,3,1,2,4,4,3,0,6.5,6,No,Low,Tier 3,Yes,Medium,Placed
Female,ME,8.96,74.6,69.9,1,4.4,73.2,8,3,5,1,5,5,0,5.6,5,No,Medium,Tier 1,Yes,,Placed
Female,ME,6.54,58.9,55.1,1,2.8,66.5,6,0,4,1,5,3,2,5.5,10,Yes,High,Tier 1,No,Medium,Not Placed
Female,CSE,9.87,96.7,89.6,0,4.2,82.0,7,4,5,4,5,6,6,6.1,6,Yes,High,Tier 2,Yes,Medium,Placed
Male,ME,9.86,89.3,86.5,0,6.8,79.7,7,3,5,4,5,6,0,9.0,6,No,High,Tier 2,Yes,,Placed
Female,IT,7.0,62.5,56.5,0,3.9,70.9,2,3,2,4,4,3,2,7.8,4,Yes,High,Tier 2,Yes,,Placed
Male,IT,7.23,66.7,62.5,1,4.1,70.6,8,1,5,2,4,6,2,6.4,8,No,Low,Tier 3,Yes,High,Placed
Male,ECE,7.2,58.4,67.3,1,6.8,74.7,6,2,5,4,3,6,6,8.3,4,No,High,Tier 3,Yes,Medium,Placed
Male,CSE,8.93,71.3,78.7,1,4.2,76.7,7,2,5,1,5,5,2,6.8,10,Yes,Medium,Tier 3,Yes,Low,Placed
Female,ECE,9.44,86.1,89.0,0,7.4,73.6,6,3,5,3,5,5,1,8.6,5,No,High,Tier 2,Yes,High,Placed
Male,IT,9.14,82.9,79.5,0,1.2,65.3,8,3,5,3,4,6,4,9.0,2,Yes,Medium,Tier 1,Yes,Medium,Placed
Male,CE,5.73,53.1,50.0,0,4.9,68.1,4,1,2,4,3,3,3,8.2,9,No,Medium,Tier 2,Yes,High,Not Placed
Female,ECE,8.02,59.5,80.5,0,7.9,85.9,1,3,1,1,5,0,1,7.1,8,No,Medium,Tier 1,Yes,High,Placed
Male,CSE,9.91,82.5,91.1,1,8.9,92.0,6,3,4,4,5,5,3,7.8,5,No,Medium,Tier 1,Yes,Low,Placed
Male,ECE,9.61,87.1,93.2,0,3.2,72.7,5,3,3,4,5,3,1,7.0,4,Yes,Low,Tier 1,Yes,Medium,Placed
Male,ECE,7.62,67.7,68.1,0,3.5,66.7,0,1,1,4,4,0,0,4.8,10,No,High,Tier 2,Yes,Medium,Placed
Male,IT,9.08,86.3,80.3,0,7.9,78.7,6,4,4,4,5,4,1,6.2,8,Yes,High,Tier 1,Yes,High,Placed
Male,ME,8.77,80.4,86.0,1,3.3,69.4,8,4,5,5,4,4,8,5.9,10,No,Low,Tier 1,Yes,Medium,Placed
Male,ECE,9.86,94.7,96.4,0,3.0,63.3,8,4,5,2,4,6,5,6.2,3,No,Medium,Tier 2,Yes,,Placed
Female,ECE,6.74,66.3,54.0,1,3.0,65.2,5,1,3,1,3,3,4,9.0,6,No,Medium,Tier 2,Yes,Low,Placed
Male,CSE,8.03,75.3,69.2,1,2.2,64.4,5,1,4,4,3,3,4,8.3,4,No,Medium,Tier 3,Yes,Low,Placed
Male,IT,6.69,59.6,55.7,1,1.9,68.5,8,2,5,2,4,5,7,7.5,3,No,Low,Tier 2,Yes,High,Placed
Female,ECE,8.9,81.7,83.3,0,3.6,81.7,8,3,5,5,3,4,0,8.0,4,No,High,Tier 1,Yes,High,Placed
Male,ECE,6.39,59.6,53.7,1,0.7,62.9,6,1,4,2,3,4,5,4.7,4,No,Medium,Tier 1,Yes,Low,Placed
Female,ECE,8.21,79.9,76.4,0,2.8,65.3,3,3,2,5,4,3,1,7.9,6,Yes,Medium,Tier 1,Yes,Medium,Placed
Male,ME,8.9,78.3,84.2,0,7.2,87.3,6,2,4,4,4,4,3,8.1,8,No,Medium,Tier 3,Yes,High,Not Placed
Male,ME,7.23,67.2,74.4,0,5.8,82.5,3,3,3,5,4,2,0,4.3,7,No,Low,Tier 3,No,Low,Placed
Male,CE,8.98,73.8,75.3,0,2.9,72.7,7,3,4,3,5,4,3,7.9,3,Yes,Medium,Tier 1,No,,Placed
Male,CSE,8.37,73.4,81.2,2,4.5,78.7,3,3,2,4,3,1,1,5.3,10,Yes,Low,Tier 2,Yes,Low,Not Placed
Male,ECE,8.05,73.6,71.3,0,3.8,80.6,5,0,3,5,5,2,1,4.6,10,No,Low,Tier 3,Yes,High,Not Placed
Male,CSE,7.21,66.8,74.5,0,2.5,55.1,4,2,2,4,3,2,2,8.6,4,No,Medium,Tier 2,No,Medium,Placed
Male,ME,7.54,71.0,73.1,0,0.0,59.4,7,2,5,5,3,5,4,5.8,5,No,High,Tier 3,Yes,Low,Placed
Male,CSE,7.03,59.7,68.0,1,2.2,60.9,4,2,2,2,4,3,2,6.1,8,No,Medium,Tier 1,Yes,,Not Placed
Male,ME,7.81,70.6,66.6,1,3.4,72.8,0,2,1,1,3,2,2,8.2,10,No,Low,Tier 1,Yes,Medium,Not Placed
Male,IT,9.29,81.1,82.6,0,9.0,88.8,7,2,5,3,5,6,6,6.6,2,No,Medium,Tier 3,Yes,High,Placed
Male,IT,10.0,99.2,92.0,0,5.3,77.8,6,4,4,4,4,2,2,6.8,7,No,High,Tier 2,Yes,Medium,Placed
Male,ECE,8.03,64.7,69.5,0,3.8,69.0,5,1,4,2,4,4,1,6.8,10,No,Medium,Tier 2,Yes,Low,Placed
Female,ECE,7.71,80.0,72.8,1,5.0,76.6,6,2,3,5,4,0,2,7.4,8,No,High,Tier 2,Yes,,Placed
Male,CSE,7.17,67.9,73.5,0,4.5,75.9,8,1,5,3,4,4,4,6.7,5,No,Medium,Tier 2,Yes,High,Placed
Female,ME,8.73,65.1,75.4,0,2.6,65.7,4,2,3,1,5,3,5,7.1,7,No,Medium,Tier 3,Yes,Low,Placed
Female,IT,6.71,57.9,56.8,1,3.9,66.3,3,1,2,4,3,2,2,6.4,9,No,Low,Tier 1,No,Low,Not Placed
Male,CSE,8.5,77.7,73.6,0,3.3,77.4,3,3,2,5,5,3,1,7.4,9,Yes,Medium,Tier 2,Yes,High,Placed
Female,ECE,9.35,83.9,91.6,0,1.0,67.1,7,3,5,3,4,5,3,7.4,5,No,Medium,Tier 3,Yes,High,Placed
Female,IT,9.14,74.2,81.3,0,2.9,50.0,6,3,5,3,4,3,5,9.0,4,No,Medium,Tier 2,Yes,Medium,Placed
Male,IT,7.46,61.3,75.3,0,3.8,65.7,4,1,3,1,4,3,2,6.5,4,Yes,High,Tier 2,Yes,Medium,Placed
Male,CSE,8.26,74.9,78.2,0,4.9,72.5,5,2,3,5,4,4,1,6.8,7,Yes,High,Tier 3,No,Low,Placed
Female,ME,9.77,81.0,90.2,0,4.1,75.8,8,4,5,5,5,5,5,7.3,4,No,Low,Tier 3,Yes,,Placed
Female,CSE,9.13,86.3,91.6,0,5.9,67.8,7,3,4,2,5,5,4,8.2,4,No,Low,Tier 2,Yes,,Placed
Male,CSE,7.87,69.5,67.1,0,3.6,64.4,7,2,5,5,3,3,3,5.7,9,No,Medium,Tier 2,Yes,Medium,Placed
Male,IT,9.44,87.9,76.2,0,6.6,78.6,8,3,5,1,4,4,2,7.1,10,No,Low,Tier 3,Yes,,Placed
Male,IT,8.71,72.9,74.9,0,4.4,74.0,8,3,5,2,4,4,7,4.0,7,No,Medium,Tier 3,Yes,High,Placed
Male,CE,8.86,73.0,78.7,0,4.9,71.3,7,1,5,5,4,5,5,6.7,1,No,High,Tier 3,Yes,,Placed
Female,CSE,9.18,87.8,84.0,0,4.6,75.3,8,4,5,3,4,5,1,8.3,6,Yes,High,Tier 2,Yes,Medium,Placed
Male,IT,8.41,75.4,79.5,2,3.1,66.6,5,2,4,1,5,5,0,6.1,7,Yes,Medium,Tier 2,Yes,Medium,Placed
Male,ECE,7.94,63.2,73.4,0,5.3,68.3,4,2,2,4,4,1,1,7.2,1,No,High,Tier 2,No,Medium,Placed
Female,ECE,8.09,68.6,75.3,0,2.8,69.9,3,2,1,4,5,0,0,6.4,3,No,Medium,Tier 3,No,Low,Placed
Male,ECE,7.36,67.2,66.0,0,2.1,69.6,8,1,5,1,4,5,6,6.0,6,No,Low,Tier 3,No,High,Placed
Male,CSE,9.2,75.4,86.0,0,4.6,78.6,7,4,5,1,5,5,6,8.2,7,No,Medium,Tier 1,No,Low,Placed
Female,CE,7.8,56.0,71.8,0,3.9,65.4,1,2,1,4,4,1,2,5.7,10,Yes,Medium,Tier 2,Yes,Medium,Placed
Female,ME,7.83,62.9,76.9,0,2.5,70.3,5,3,2,4,4,3,3,7.4,7,No,Medium,Tier 2,Yes,Medium,Placed
Male,CSE,9.07,85.5,84.4,0,4.2,74.4,3,2,3,4,4,3,2,7.4,9,No,Low,Tier 3,Yes,,Placed
Male,CSE,8.48,67.6,80.2,0,5.4,85.3,2,3,2,2,4,1,0,6.0,2,No,Medium,Tier 2,Yes,Medium,Placed
Male,CSE,8.55,81.7,90.2,0,3.6,65.6,6,3,4,1,5,4,2,7.2,3,No,Medium,Tier 2,Yes,Medium,Placed
Male,CSE,8.28,75.9,73.0,1,7.2,82.1,8,2,5,2,4,4,2,5.9,9,No,High,Tier 1,Yes,High,Placed
Male,ME,7.54,64.1,72.9,0,6.3,78.7,5,1,4,5,4,6,2,7.6,6,No,Medium,Tier 2,No,High,Placed
Male,IT,8.0,77.8,72.5,0,3.2,61.4,5,2,4,2,3,4,4,5.4,3,No,Medium,Tier 1,Yes,,Placed
Male,CSE,7.17,57.8,63.3,0,1.7,71.9,6,2,5,3,3,4,4,6.6,10,Yes,Medium,Tier 3,Yes,,Placed
Male,CSE,10.0,86.9,89.4,0,3.8,66.9,7,4,5,1,5,5,4,6.7,8,Yes,Low,Tier 3,Yes,Low,Placed
Male,ME,8.42,75.4,79.8,0,4.9,70.5,6,1,5,5,4,6,3,8.3,3,Yes,Medium,Tier 2,Yes,High,Placed
Male,IT,7.47,64.9,66.5,1,0.6,60.9,6,2,3,4,4,4,2,7.2,4,No,High,Tier 2,Yes,,Placed
Male,ECE,8.71,78.6,69.9,1,0.6,57.7,5,3,4,3,4,4,4,8.1,7,No,Medium,Tier 3,Yes,Medium,Placed
Male,ECE,8.92,83.1,78.0,0,1.5,67.4,6,4,3,5,5,3,1,7.7,4,No,High,Tier 1,Yes,Medium,Placed
Male,ME,7.82,67.3,77.5,0,6.3,78.9,3,1,1,5,3,1,0,7.7,6,No,Low,Tier 1,Yes,Medium,Placed
Female,CSE,8.83,86.9,83.0,0,6.8,70.4,6,3,4,3,4,2,4,6.6,9,No,Low,Tier 3,Yes,Low,Placed
Male,CSE,7.88,66.2,59.7,0,1.9,56.7,2,2,3,1,4,4,4,8.2,5,No,High,Tier 3,Yes,Low,Placed
Female,CE,8.3,73.2,71.2,2,1.2,66.0,3,3,2,5,4,4,3,6.6,4,Yes,High,Tier 3,Yes,Low,Not Placed
Female,ME,7.95,73.7,66.1,0,4.5,69.8,3,1,1,2,4,0,0,4.9,8,No,High,Tier 1,Yes,,Placed
Male,ME,6.42,56.8,50.0,0,4.3,72.6,5,1,4,2,3,4,3,6.7,4,No,Medium,Tier 1,Yes,,Not Placed
Male,CE,8.41,68.4,75.4,0,1.6,66.4,4,1,3,2,5,4,1,7.5,9,No,High,Tier 1,Yes,,Placed
Male,ME,8.51,76.4,82.7,1,2.0,60.4,8,3,5,1,4,4,1,5.1,4,No,High,Tier 1,Yes,Medium,Placed
Male,CSE,6.67,55.1,55.2,1,2.7,61.6,4,1,3,4,4,3,3,5.9,10,Yes,High,Tier 3,Yes,Low,Placed
Female,ECE,9.09,90.3,79.0,0,3.1,72.4,6,1,3,5,5,4,2,5.5,7,No,Medium,Tier 1,Yes,Low,Placed
Male,CSE,9.33,91.1,82.4,0,4.6,71.8,7,4,5,2,4,5,3,7.9,9,No,Medium,Tier 3,Yes,Low,Placed
Male,CSE,8.85,80.2,70.7,0,0.0,66.0,8,2,5,1,5,6,3,9.0,10,No,High,Tier 1,Yes,Low,Placed
Male,ME,7.31,64.2,76.6,0,7.8,86.5,2,2,1,4,4,0,1,6.7,7,No,Medium,Tier 2,Yes,Low,Not Placed
Male,IT,9.38,89.7,88.7,0,4.7,75.8,6,4,5,5,4,5,2,7.6,5,No,Medium,Tier 3,Yes,Low,Placed
Female,IT,7.41,72.6,67.6,1,4.2,82.2,3,2,2,4,4,1,3,7.6,9,Yes,Medium,Tier 1,Yes,Medium,Not Placed
Male,ME,7.18,66.9,61.3,0,2.7,65.3,5,0,4,2,4,4,2,8.9,3,Yes,Medium,Tier 2,Yes,,Placed
Male,CSE,7.64,75.7,62.3,0,2.3,64.5,2,3,2,4,4,3,1,6.2,4,No,Medium,Tier 2,Yes,High,Placed
Female,CSE,7.82,72.1,66.5,0,2.4,70.4,4,2,3,1,3,2,4,6.7,7,Yes,Low,Tier 1,Yes,,Placed
Female,IT,7.62,69.2,74.1,1,3.0,68.8,7,2,5,2,4,6,7,6.6,7,No,High,Tier 2,Yes,High,Placed
Male,ME,9.56,87.4,82.8,0,4.8,70.8,4,2,3,5,5,2,4,7.1,8,No,Medium,Tier 2,Yes,High,Placed
Male,ME,7.46,64.2,66.8,1,6.3,75.6,1,3,1,3,3,2,0,9.0,4,No,Medium,Tier 2,No,Medium,Not Placed
Male,CE,8.75,82.6,79.0,0,1.2,57.0,3,1,3,5,5,3,0,7.0,9,No,Low,Tier 3,Yes,High,Placed
Male,CE,7.64,67.6,85.3,2,3.1,69.8,7,2,4,5,5,6,4,6.0,8,Yes,Low,Tier 2,Yes,,Not Placed
Male,IT,8.52,78.1,73.7,0,4.3,76.4,7,3,5,5,4,3,6,5.6,4,No,Low,Tier 1,Yes,,Placed
Male,CSE,8.06,71.0,66.9,0,4.4,72.8,8,2,5,1,4,3,3,8.5,9,No,Medium,Tier 2,Yes,Low,Placed
Male,CE,7.26,67.5,56.2,0,2.8,72.3,8,3,5,2,4,6,4,6.0,7,No,Low,Tier 1,Yes,Low,Placed
Male,IT,7.5,68.6,64.2,0,3.3,69.6,8,3,5,5,3,6,1,7.8,5,No,High,Tier 2,Yes,Low,Placed
Female,CSE,7.02,68.1,74.9,0,3.5,69.0,7,1,5,1,4,4,2,6.2,4,Yes,Low,Tier 2,Yes,Medium,Placed
Male,ME,6.32,54.0,59.7,0,1.6,66.4,1,1,2,1,4,1,6,5.5,10,No,Low,Tier 1,Yes,,Not Placed
Male,ECE,7.88,67.8,78.3,0,2.1,65.1,6,2,4,2,5,4,5,7.7,7,No,Low,Tier 3,Yes,Low,Placed
Male,IT,9.26,86.8,85.6,0,0.2,60.3,5,3,3,1,5,3,3,6.2,3,No,Low,Tier 3,Yes,Low,Placed
Female,CSE,7.64,77.1,67.1,2,6.2,78.1,4,0,3,2,3,4,8,7.5,5,No,Medium,Tier 3,Yes,Medium,Not Placed
Male,ME,8.87,78.4,83.3,1,5.1,68.7,6,2,4,1,5,4,2,7.6,3,No,High,Tier 2,Yes,High,Placed
Male,CSE,7.93,74.4,66.7,0,1.3,65.3,8,2,5,2,4,6,2,7.7,4,Yes,Medium,Tier 2,Yes,Medium,Placed
Female,CE,9.25,78.8,86.5,0,1.8,59.7,8,4,5,4,4,6,5,6.7,7,No,Low,Tier 3,Yes,Low,Placed
Female,CSE,8.31,72.3,79.9,1,1.3,62.0,7,1,5,5,4,5,3,7.8,9,No,Low,Tier 2,Yes,Low,Placed
Female,CSE,7.31,66.0,70.8,0,2.1,76.7,5,2,3,2,2,2,3,5.9,7,No,Medium,Tier 3,Yes,Medium,Placed
Male,ECE,7.09,65.3,62.8,0,4.5,78.9,7,1,4,2,4,5,3,4.1,6,No,High,Tier 1,Yes,,Placed
Male,IT,7.37,67.5,72.4,0,9.7,85.5,5,0,2,4,3,1,3,7.8,5,Yes,Low,Tier 1,Yes,High,Placed
Female,CSE,7.61,67.3,62.9,1,3.1,64.5,7,1,4,5,4,3,4,7.2,3,No,Medium,Tier 3,Yes,Low,Placed
Female,CSE,10.0,82.7,93.7,0,4.9,72.8,7,3,5,3,5,6,1,6.3,8,No,Medium,Tier 3,Yes,Low,Placed
Male,CE,7.44,60.5,68.4,0,3.8,72.5,6,1,2,2,3,2,2,5.2,10,No,Low,Tier 3,Yes,High,Placed
Male,ECE,6.57,65.6,55.6,1,4.5,64.5,1,1,1,5,3,2,1,4.6,3,No,Medium,Tier 3,Yes,High,Not Placed
Male,IT,6.77,58.9,55.4,1,3.4,68.2,8,1,5,1,3,4,1,7.1,3,No,Low,Tier 1,Yes,Medium,Placed
Female,CSE,10.0,89.8,89.6,0,6.3,84.8,8,3,5,5,5,6,3,9.0,3,Yes,Medium,Tier 1,Yes,,Placed
Male,ME,8.02,73.1,72.5,0,5.2,74.1,8,1,5,2,4,4,5,6.8,7,No,Low,Tier 3,Yes,Medium,Placed
Male,CSE,8.73,90.1,75.4,0,4.0,67.1,8,2,5,4,3,5,6,6.6,6,No,Medium,Tier 1,Yes,Low,Placed
Male,CSE,8.71,77.0,71.9,0,5.3,69.8,6,1,4,3,5,5,3,7.0,1,No,Low,Tier 2,No,Low,Placed
Male,ME,8.26,79.3,78.6,0,5.9,71.5,7,2,5,1,5,5,2,9.0,3,No,High,Tier 2,Yes,,Placed
Male,ME,7.41,61.8,71.5,2,2.6,74.2,3,2,2,4,4,2,3,7.9,4,No,Low,Tier 1,No,Medium,Not Placed
Male,CE,7.29,63.0,76.1,0,4.9,75.8,5,3,4,2,4,3,0,5.9,10,No,High,Tier 1,Yes,Medium,Not Placed
Female,ECE,6.68,62.5,56.8,0,5.7,76.8,6,2,3,4,3,2,4,7.0,8,Yes,High,Tier 2,Yes,Low,Placed
Male,ECE,9.68,90.2,87.4,0,4.9,78.9,7,4,5,1,4,6,4,7.4,3,No,High,Tier 3,Yes,High,Placed
Male,ECE,9.3,85.6,88.5,0,5.4,80.2,8,2,5,5,5,5,2,5.7,6,No,Medium,Tier 3,Yes,,Placed
Male,IT,7.96,71.8,76.9,0,4.2,72.2,4,4,2,4,3,3,2,7.9,7,No,Medium,Tier 2,No,,Placed
Male,CSE,8.64,77.4,79.6,0,5.1,77.9,8,2,5,1,4,5,3,6.0,4,No,Medium,Tier 2,Yes,Medium,Placed
Male,CSE,9.51,91.9,89.2,0,7.1,75.0,6,4,3,4,4,2,2,5.2,10,No,Low,Tier 1,Yes,High,Placed
Male,ECE,5.72,59.0,50.0,0,2.0,65.5,5,1,4,2,2,4,3,7.1,7,Yes,Medium,Tier 1,Yes,High,Not Placed
Male,ME,9.06,81.0,82.1,0,4.0,71.4,8,2,5,3,4,4,1,6.9,2,No,Low,Tier 2,Yes,Medium,Placed
Male,CSE,9.01,80.9,76.7,1,2.5,60.5,7,4,5,3,4,4,4,7.0,1,No,High,Tier 1,No,,Placed
Male,IT,9.92,87.9,92.6,0,2.8,66.4,8,3,5,3,5,6,4,6.1,8,No,Low,Tier 1,Yes,High,Placed
Female,CSE,9.14,79.8,87.7,0,5.0,84.9,8,1,5,1,5,6,2,6.2,3,No,Medium,Tier 2,No,High,Placed
Male,IT,9.46,89.0,100.0,1,0.6,64.0,8,3,4,3,4,5,3,8.4,7,No,Medium,Tier 2,Yes,,Placed
Female,CSE,7.88,70.1,78.3,1,1.8,64.9,5,3,2,1,4,3,2,7.5,5,Yes,Medium,Tier 1,Yes,Medium,Placed
Male,ME,8.72,79.6,69.9,1,6.4,73.7,3,2,3,2,5,3,3,5.9,5,No,Medium,Tier 2,Yes,Medium,Placed
Female,IT,6.42,59.8,52.6,1,1.3,72.6,6,1,4,1,3,3,4,4.7,10,No,Low,Tier 2,No,Low,Not Placed
Female,CSE,8.02,56.4,79.6,0,6.9,85.7,8,1,5,3,3,5,4,5.9,8,No,Medium,Tier 1,Yes,High,Placed
Male,IT,9.25,80.1,86.1,1,4.0,75.3,4,2,3,3,5,2,1,7.2,7,Yes,Low,Tier 3,Yes,,Placed
Male,ECE,8.68,78.5,78.7,0,3.9,69.6,4,2,3,3,4,3,3,6.2,7,Yes,High,Tier 1,Yes,Medium,Placed
Male,IT,8.72,82.2,78.2,0,2.6,56.6,6,2,4,4,5,4,2,6.1,4,Yes,Medium,Tier 3,Yes,Low,Placed
Male,ME,6.68,67.9,55.3,0,3.3,76.6,4,1,2,3,3,1,0,6.3,6,No,High,Tier 1,Yes,Medium,Not Placed
Female,ECE,9.02,81.3,71.3,0,4.5,80.4,8,3,5,3,4,6,5,6.9,4,No,Low,Tier 3,Yes,Medium,Placed
Female,CSE,9.91,81.8,84.6,0,3.6,70.7,7,4,5,1,4,3,1,7.9,2,No,Low,Tier 1,Yes,Low,Placed
Female,ECE,8.68,80.9,77.1,0,2.2,60.0,3,2,3,5,5,4,2,7.0,3,No,Low,Tier 3,Yes,Low,Placed
Male,CSE,7.68,68.6,70.2,0,5.2,77.4,3,1,3,4,3,3,4,7.1,4,No,Low,Tier 2,Yes,High,Placed
Female,CSE,8.92,90.3,78.9,0,6.5,78.4,6,3,4,5,4,3,3,6.7,1,No,Low,Tier 3,Yes,Medium,Placed
Female,CSE,9.16,88.6,76.0,0,0.8,70.3,8,2,5,1,5,4,7,6.4,8,Yes,Medium,Tier 2,Yes,Medium,Placed
Male,ECE,9.38,78.0,81.7,0,8.4,85.1,5,4,3,3,5,3,1,8.1,6,Yes,Low,Tier 1,Yes,Low,Placed
Male,CE,9.21,79.6,83.5,0,4.6,73.2,3,4,2,3,4,3,1,7.9,9,No,Medium,Tier 3,No,Low,Placed
Female,CSE,10.0,97.4,91.2,0,5.0,72.6,7,4,5,5,5,5,4,9.0,6,No,High,Tier 1,Yes,Medium,Placed
Male,CSE,8.55,77.5,74.9,0,7.0,79.3,6,1,5,3,4,6,5,7.7,8,No,Medium,Tier 3,Yes,High,Placed
Female,ME,6.46,61.0,56.3,2,0.0,54.5,3,0,2,3,3,1,3,6.4,10,Yes,Medium,Tier 1,Yes,Low,Not Placed
